member_casual,month,ride_id
casual,April,127599
casual,August,307571
casual,December,37323
casual,February,46019
casual,January,23647
casual,July,309487
casual,June,289937
casual,March,80317
casual,May,223215
casual,November,90590
casual,October,210224
casual,September,334223
member,April,276714
member,August,430290
member,December,137554
member,February,172796
member,January,116561
member,July,421890
member,June,402018
member,March,214367
member,May,370047
member,November,238773
member,October,394666
member,September,465614
